batch_id,batch_path,row_count,doc_count,first_doc_id,last_doc_id,first_row_id,last_row_id
batch_001,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_001.csv,23,5,0000014846_2019_4,0000063276_2024_4,313,861
batch_002,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_002.csv,24,5,0000067279_2013_4,0000080035_2007_4,301,1144
batch_003,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_003.csv,22,3,0000089089_2007_4,0000093676_2014_4,161,1394
batch_004,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_004.csv,25,6,0000096831_2006_4,0000317788_2016_4,2,1542
batch_005,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_005.csv,18,5,0000716634_2014_4,0000783412_2014_4,71,769
batch_006,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_006.csv,25,2,0000790703_2013_4,0000796655_2008_4,806,1511
batch_007,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_007.csv,20,5,0000798081_2009_4,0000828146_2005_4,192,1633
batch_008,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_008.csv,11,1,0000834285_2021_4,0000834285_2021_4,1301,1311
batch_009,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_009.csv,23,1,0000835011_2006_4,0000835011_2006_4,1329,1367
batch_010,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_010.csv,20,4,0000849146_2016_4,0000873303_2013_4,93,1478
batch_011,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_011.csv,17,3,0000874734_2005_4,0000890801_2005_4,542,1327
batch_012,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_012.csv,23,3,0000891178_2005_4,0000899166_2007_4,551,847
batch_013,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_013.csv,23,3,0000910638_2007_4,0000918251_2019_4,49,1424
batch_014,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_014.csv,19,3,0000918958_2006_4,0000928054_2012_4,254,762
batch_015,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_015.csv,25,1,0000929940_2007_4,0000929940_2007_4,1154,1220
batch_016,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_016.csv,15,3,0000930184_2007_4,0000935419_2024_4,14,1403
batch_017,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_017.csv,11,1,0000944765_2006_4,0000944765_2006_4,1449,1459
batch_018,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_018.csv,17,2,0001002388_2006_4,0001003111_2006_4,26,294
batch_019,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_019.csv,20,1,0001014739_2005_4,0001014739_2005_4,401,448
batch_020,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_020.csv,25,1,0001036968_2006_4,0001036968_2006_4,209,234
batch_021,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_021.csv,5,1,0001036968_2006_4,0001036968_2006_4,235,239
batch_022,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_022.csv,19,7,0001040570_2007_4,0001100682_2012_4,90,1226
batch_023,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_023.csv,24,2,0001129633_2015_4,0001137861_2006_4,242,1116
batch_024,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_024.csv,22,6,0001140098_2013_4,0001227654_2024_4,458,955
batch_025,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_025.csv,17,3,0001285224_2010_4,0001296205_2016_4,317,1284
batch_026,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_026.csv,21,4,0001311241_2015_4,0001356576_2022_4,189,1295
batch_027,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_027.csv,18,1,0001376339_2019_4,0001376339_2019_4,1554,1619
batch_028,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_028.csv,23,5,0001376339_2020_4,0001435508_2023_4,73,1635
batch_029,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_029.csv,21,3,0001472595_2014_4,0001494259_2022_4,4,945
batch_030,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_030.csv,25,3,0001504747_2014_4,0001604778_2016_4,669,1408
batch_031,/Users/nmduk/PROJECTS/A:B:C Classifier/outputs/issue_reaudit_round3/batches/batch_031.csv,18,6,0001620280_2020_4,0001818093_2024_4,159,1438
